TotalAssets,Debt,Equity,ProfitBeforeTax,ProfitAfterTax,Profit_Others,Revenue_Gross,Revenue_Net,D,Ind,Gender,Position,YearBirth,Edu,Nationality,Stock_Num,Manager,Year_StartWork,BoardMember,R,Control,CHAIR,CEO,Duality,CEO1,IndCode,BSIZE,FOR_No,FOR,FOR_Ind_No,FOR_Ind,FOR_Org_No,FOR_Org,DOM_Ind_No,DOM_Ind,DOM_Org_No,DOM_Org,GOV
7.52917E+12,4.54892E+12,2.98025E+12,2.53984E+11,2.12149E+11,8299007917,8.01883E+12,8.01157E+12,HOSE,512,1,CTHĐQT,1976,2,1,0,0,2007,1,0,0,0,,0,0,512,5,17047169,9.957459924,0,0,12798124,7.48,0,0,79817140,46.62,0
7.98745E+12,4.73222E+12,3.25524E+12,5.97393E+11,4.91029E+11,6991821545,9.27825E+12,9.25807E+12,HOSE,512,1,CTHĐQT,1976,2,1,0,0,2007,1,0,0,0,,0,0,512,5,4289600,2.505607828,0,0,0,0,0,0,82305630,48.08,0
2.29959E+11,18279981958,2.11679E+11,11911379426,9591230681,1279259885,2.19917E+11,2.18264E+11,HOSE,501,1,CTHĐQT/GĐ,1959,2,1,1879885,1,1997,1,1,0,0,0,1,0,501,5,97631,0.982628201,0,0,0,0,3518091,35.01,0,0,0
2.27508E+11,16092542851,2.11415E+11,10265178848,8308840156,3164962244,2.25543E+11,2.16122E+11,HOSE,501,1,CTHĐQT/GĐ,1959,2,1,4879732,1,1997,1,1,0,0,0,1,0,501,5,125254,1.014497249,0,0,0,0,4879732,46.69,0,0,0
5.93245E+11,2.03497E+11,3.89748E+11,29506221751,23989962076,376198717,2.95585E+11,2.95585E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0088E+11,1.89985E+11,4.10895E+11,25932376637,21147090793,2498712563,2.96396E+11,2.96396E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.90153E+11,1.91442E+11,1.98711E+11,47400463674,36765880123,-371175818,4.69406E+11,4.69406E+11,HNX,602,1,CTHĐQT,1960,1,1,3625000,0,2010,1,0,0,0,,0,0,602,6,0,0,0,0,0,0,4875000,39,0,0,0
5.88735E+11,2.15641E+11,3.73094E+11,39633079955,30804265918,-668913246,5.48359E+11,5.47472E+11,HNX,602,1,CTHĐQT,1960,1,1,9243750,0,2010,1,0,0,0,,0,0,602,6,8583936,26.93,0,0,0,0,12431250,39,0,0,0
5.80657E+11,2.10288E+11,3.70368E+11,37391553520,29574467704,-23790955,4.72414E+11,4.72414E+11,,,,,,,,,,,,,,,,,,602,,,,0,0,0,0,5760000,20,6800000,23.61,0
6.6335E+11,2.59923E+11,4.03428E+11,42328556226,33021177534,-825197558,7.90964E+11,7.90568E+11,HOSE,602,1,CTHĐQT,1973,0,1,5760000,0,2006,1,0,0,0,,0,1,602,5,,,0,0,0,0,5760000,20,6800000,23.61,0
