Filename,FirmCode,Year_x,so_chu_de_x,so_chu_de_phan_biet_x,so_tu_de_x,so_tu_de_phan_biet_x,so_tu_muon_x,so_tu_muon_phan_biet_x,so_tu_co_1_nghia_x,so_tu_co_1_pos_x,so_tu_co_2_nghia_x,so_tu_co_2_pos_x,so_tu_co_3_nghia_x,so_tu_co_3_pos_x,so_tu_co_nhieu_pos_x,so_tu_da_nghia_x,tong_so_tu_loai_cua_tat_ca_cac_tu_x,tong_tan_suat_chu_x,tong_tan_suat_chu_phan_biet_x,tong_tan_suat_tu_x,tong_tan_suat_tu_phan_biet_x,tong_thu_hang_chu_x,tong_thu_hang_chu_phan_biet_x,tong_thu_hang_tu_x,tong_thu_hang_tu_phan_biet_x,so_tu_dia_phuong_x,so_tu_dia_phuong_phan_biet_x,so_tu_han_viet_x,so_tu_han_viet_1_chu_x,so_tu_han_viet_2_chu_x,so_tu_han_viet_3_chu_x,so_tu_han_viet_nhieu_chu_x,so_tu_han_viet_phan_biet_x,so_cau_x,so_cau_duoi_10_tu_x,so_cau_duoi_13_chu_x,so_cau_tu_10_tu_x,so_cau_tu_13_chu_x,so_chu_x,so_chu_phan_biet_x,so_ky_tu_x,so_tu_x,so_tu_1_chu_x,so_tu_2_chu_x,so_tu_3_chu_x,so_tu_nhieu_chu_x,so_tu_phan_biet_x,Code,Year_y,so_chu_de_y,so_chu_de_phan_biet_y,so_tu_de_y,so_tu_de_phan_biet_y,so_tu_muon_y,so_tu_muon_phan_biet_y,so_tu_co_1_nghia_y,so_tu_co_1_pos_y,so_tu_co_2_nghia_y,so_tu_co_2_pos_y,so_tu_co_3_nghia_y,so_tu_co_3_pos_y,so_tu_co_nhieu_pos_y,so_tu_da_nghia_y,tong_so_tu_loai_cua_tat_ca_cac_tu_y,tong_tan_suat_chu_y,tong_tan_suat_chu_phan_biet_y,tong_tan_suat_tu_y,tong_tan_suat_tu_phan_biet_y,tong_thu_hang_chu_y,tong_thu_hang_chu_phan_biet_y,tong_thu_hang_tu_y,tong_thu_hang_tu_phan_biet_y,so_tu_dia_phuong_y,so_tu_dia_phuong_phan_biet_y,so_tu_han_viet_y,so_tu_han_viet_1_chu_y,so_tu_han_viet_2_chu_y,so_tu_han_viet_3_chu_y,so_tu_han_viet_nhieu_chu_y,so_tu_han_viet_phan_biet_y,so_cau_y,so_cau_duoi_10_tu_y,so_cau_duoi_13_chu_y,so_cau_tu_10_tu_y,so_cau_tu_13_chu_y,so_chu_y,so_chu_phan_biet_y,so_ky_tu_y,so_tu_y,so_tu_1_chu_y,so_tu_2_chu_y,so_tu_3_chu_y,so_tu_nhieu_chu_y,so_tu_phan_biet_y,CodeYear,dup,FirmName,StockExchange,GroupInd,TotalAssets,Debt,Equity,ProfitBeforeTax,ProfitAfterTax,Profit_Others,Revenue_Gross,Revenue_Net,D,Ind,Ind_Name,Name_Person,Gender,Position,YearBirth,Edu,Nationality,Stock_Num,Manager,Year_StartWork,BoardMember,R,Control,CHAIR,CEO,Duality,CEO1,IndCode,IndName,INDB,BSIZE,FOR_No,FOR,FOR_Ind_No,FOR_Ind,FOR_Org_No,FOR_Org,DOM_Ind_No,DOM_Ind,DOM_Org_No,DOM_Org,GOV
AAA_Baocaothuongnien_2018.txt,AAA,2018.0,43754,474,15572,314,16817,1198,9327,15391,6835,10181,3793,6187,20348,24858,82591,236160.1758,23375.05251,254652.6882,33212.21583,46405380,8388422,88285285.19,13288552.22,548,54,15762,3606,11936,214,12156,1170,7530,6081,5934,1449,1596,65491,3784,238023,45987,27737,17311,710,18250,4803,AAA,2018.0,43754,474,15572,314,16817,1198,9327,15391,6835,10181,3793,6187,20348,24858,82591,236160.1758,23375.05251,254652.6882,33212.21583,46405380,8388422,88285285.19,13288552.22,548,54,15762,3606,11936,214,12156,1170,7530,6081,5934,1449,1596,65491,3784,238023,45987,27737,17311,710,18250,4803,AAA2018,0,CTCP Nhựa An Phát Xanh,HoSE,Sản xuất các sản phẩm nhựa và cao su,7529170000000.0,4548920000000.0,2980250000000.0,253984000000.0,212149000000.0,8299007917.0,8018830000000.0,8011570000000.0,HOSE,512.0,Sản xuất các sản phẩm nhựa và cao su,Phạm Ánh Dương,1.0,CTHĐQT,1976.0,2.0,1.0,0.0,0.0,2007.0,1.0,0.0,0.0,0.0,,0.0,0.0,512.0,Sản xuất các sản phẩm nhựa và cao su,3.0,5.0,17047169.0,10.0,0.0,0.0,12798124.0,7.0,0.0,0.0,79817140.0,47.0,0.0
AAM_Baocaothuongnien_2018.txt,AAM,2018.0,18356,434,6911,248,7196,689,4019,6630,3362,5422,1604,2343,9652,11271,40897,132688.7877,20484.02941,137695.9146,25617.28735,32244742,7318763,48431490.91,10421072.29,370,42,6627,2060,4490,77,4567,666,3732,2999,2943,733,789,32180,3227,127879,24099,16549,7145,303,7550,3665,AAM,2018.0,18356,434,6911,248,7196,689,4019,6630,3362,5422,1604,2343,9652,11271,40897,132688.7877,20484.02941,137695.9146,25617.28735,32244742,7318763,48431490.91,10421072.29,370,42,6627,2060,4490,77,4567,666,3732,2999,2943,733,789,32180,3227,127879,24099,16549,7145,303,7550,3665,AAM2018,0,CTCP Thủy sản MeKong,HoSE,Sản xuất thực phẩm,229959000000.0,18279981958.0,211679000000.0,11911379426.0,9591230681.0,1279259885.0,219917000000.0,218264000000.0,HOSE,501.0,Sản xuất thực phẩm,Lương Hoàng Mãnh,1.0,CTHĐQT/GĐ,1959.0,2.0,1.0,1879885.0,1.0,1997.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,501.0,Sản xuất thực phẩm,3.0,5.0,97631.0,1.0,0.0,0.0,0.0,0.0,3518091.0,35.0,0.0,0.0,0.0
AAM_Baocaothuongnien_2019.txt,AAM,2019.0,10505,205,5599,148,5040,265,2384,5266,2114,3890,2492,2994,8952,9540,42637,138911.9858,12992.85124,146665.6081,15298.71215,46208527,4940750,45330903.11,5845313.712,1001,49,4020,2636,1379,5,1384,235,3386,2670,2697,716,689,28795,2010,99454,25682,22801,2681,172,2881,2256,AAM,2019.0,10505,205,5599,148,5040,265,2384,5266,2114,3890,2492,2994,8952,9540,42637,138911.9858,12992.85124,146665.6081,15298.71215,46208527,4940750,45330903.11,5845313.712,1001,49,4020,2636,1379,5,1384,235,3386,2670,2697,716,689,28795,2010,99454,25682,22801,2681,172,2881,2256,AAM2019,0,CTCP Thủy sản MeKong,HoSE,Sản xuất thực phẩm,227508000000.0,16092542851.0,211415000000.0,10265178848.0,8308840156.0,3164962244.0,225543000000.0,216122000000.0,HOSE,501.0,Sản xuất thực phẩm,Lương Hoàng Mãnh,1.0,CTHĐQT/GĐ,1959.0,2.0,1.0,4879732.0,1.0,1997.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,501.0,Sản xuất thực phẩm,3.0,5.0,125254.0,1.0,0.0,0.0,0.0,0.0,4879732.0,47.0,0.0,0.0,0.0
AAV_Baocaothuongnien_2018.txt,AAV,2018.0,9781,434,3082,225,3474,649,2190,3117,1427,2324,705,1259,4303,4891,16868,50125.04504,7072.911804,54664.10162,11752.08449,9283773,2183508,19493451.6,4528554.584,83,29,3321,791,2446,84,2530,636,1630,1389,1352,241,278,14205,1440,49571,9591,5390,3878,240,4201,1784,AAV,2018.0,9781,434,3082,225,3474,649,2190,3117,1427,2324,705,1259,4303,4891,16868,50125.04504,7072.911804,54664.10162,11752.08449,9283773,2183508,19493451.6,4528554.584,83,29,3321,791,2446,84,2530,636,1630,1389,1352,241,278,14205,1440,49571,9591,5390,3878,240,4201,1784,AAV2018,0,CTCP Việt Tiên Sơn Địa ốc,HNX,Bán buôn hàng tiêu dùng,390153000000.0,191442000000.0,198711000000.0,47400463674.0,36765880123.0,-371175818.0,469406000000.0,469406000000.0,HNX,602.0,Bán buôn hàng tiêu dùng,Nguyễn Thanh Hải,1.0,CTHĐQT,1960.0,1.0,1.0,3625000.0,0.0,2010.0,1.0,0.0,0.0,0.0,,0.0,0.0,602.0,Bán buôn hàng tiêu dùng,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4875000.0,39.0,0.0,0.0,0.0
AAV_Baocaothuongnien_2019.txt,AAV,2019.0,18117,467,6568,301,7371,1004,4135,6529,3136,5269,1959,3180,10266,11266,47474,169771.0128,42580.62617,177402.026,51239.44468,49555986,16448909,62407462.03,20517899.44,700,101,6730,2552,4072,106,4178,934,4275,3452,3473,823,802,37943,6373,130966,29597,22116,6827,492,7481,7278,AAV,2019.0,18117,467,6568,301,7371,1004,4135,6529,3136,5269,1959,3180,10266,11266,47474,169771.0128,42580.62617,177402.026,51239.44468,49555986,16448909,62407462.03,20517899.44,700,101,6730,2552,4072,106,4178,934,4275,3452,3473,823,802,37943,6373,130966,29597,22116,6827,492,7481,7278,AAV2019,0,CTCP Việt Tiên Sơn Địa ốc,HNX,Bán buôn hàng tiêu dùng,588735000000.0,215641000000.0,373094000000.0,39633079955.0,30804265918.0,-668913246.0,548359000000.0,547472000000.0,HNX,602.0,Bán buôn hàng tiêu dùng,Nguyễn Thanh Hải,1.0,CTHĐQT,1960.0,1.0,1.0,9243750.0,0.0,2010.0,1.0,0.0,0.0,0.0,,0.0,0.0,602.0,Bán buôn hàng tiêu dùng,3.0,6.0,8583936.0,27.0,0.0,0.0,0.0,0.0,12431250.0,39.0,0.0,0.0,0.0
ACC_Baocaothuongnien_2019.txt,ACC,2019.0,12732,431,4667,266,5310,806,3014,4972,2341,3792,1600,2258,7458,8348,37251,143908.9512,38209.78852,147427.2203,44205.08535,45188089,14749045,51952849.72,17569917.59,807,113,4852,2009,2785,56,2843,745,4379,3708,3733,671,646,30018,5712,107555,24164,19069,4539,389,5095,6306,ACC,2019.0,12732,431,4667,266,5310,806,3014,4972,2341,3792,1600,2258,7458,8348,37251,143908.9512,38209.78852,147427.2203,44205.08535,45188089,14749045,51952849.72,17569917.59,807,113,4852,2009,2785,56,2843,745,4379,3708,3733,671,646,30018,5712,107555,24164,19069,4539,389,5095,6306,ACC2019,0,CTCP Đầu tư và Xây dựng Bình Dương ACC,HoSE,Sản xuất sản phẩm khoáng chất phi kim,497020000000.0,248437000000.0,248583000000.0,57274742812.0,45862526564.0,4902156598.0,473661000000.0,473638000000.0,HOSE,513.0,Sản xuất sản phẩm khoáng chất phi kim,Phạm Xuân Phương,1.0,CTHĐQT,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,513.0,Sản xuất sản phẩm khoáng chất phi kim,5.0,5.0,2035700.0,20.0,0.0,0.0,0.0,0.0,4846704.0,48.0,2490000.0,25.0,0.0
ACL_2018_BCTN.txt,ACL,2018.0,6428,398,2071,193,2379,455,1468,2058,903,1570,492,860,2981,3351,11260,30916.38088,4784.351711,33465.70302,7615.211858,5399662,1374471,11667555.7,2828590.212,83,23,2275,455,1769,49,1820,443,801,588,551,213,250,9085,1065,32168,6042,3221,2663,94,2821,1198,ACL,2018.0,6428,398,2071,193,2379,455,1468,2058,903,1570,492,860,2981,3351,11260,30916.38088,4784.351711,33465.70302,7615.211858,5399662,1374471,11667555.7,2828590.212,83,23,2275,455,1769,49,1820,443,801,588,551,213,250,9085,1065,32168,6042,3221,2663,94,2821,1198,ACL2018,0,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,HoSE,Sản xuất thực phẩm,1343380000000.0,784615000000.0,558763000000.0,259030000000.0,230400000000.0,-981554805.0,1693520000000.0,1688850000000.0,HOSE,501.0,Sản xuất thực phẩm,Trần Thị Vân Loan,0.0,CTHĐQT/TGĐ,1971.0,1.0,1.0,11454523.0,1.0,2003.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,501.0,Sản xuất thực phẩm,2.0,5.0,573089.0,3.0,0.0,0.0,0.0,0.0,11454523.0,50.0,0.0,0.0,0.0
ACL_2019_BCTN.txt,ACL,2019.0,7356,409,2373,217,2650,502,1673,2327,1028,1807,558,965,3389,3800,12753,35173.98159,5413.982429,38008.54493,8571.157603,6116080,1598680,13316046.04,3192706.158,96,26,2537,498,1978,59,2039,486,831,609,570,222,261,10349,1175,36747,6850,3609,3055,116,3241,1344,ACL,2019.0,7356,409,2373,217,2650,502,1673,2327,1028,1807,558,965,3389,3800,12753,35173.98159,5413.982429,38008.54493,8571.157603,6116080,1598680,13316046.04,3192706.158,96,26,2537,498,1978,59,2039,486,831,609,570,222,261,10349,1175,36747,6850,3609,3055,116,3241,1344,ACL2019,0,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,HoSE,Sản xuất thực phẩm,1461190000000.0,794912000000.0,666276000000.0,157896000000.0,141713000000.0,-1923137812.0,1423670000000.0,1417530000000.0,HOSE,501.0,Sản xuất thực phẩm,Trần Thị Vân Loan,0.0,CTHĐQT/TGĐ,1971.0,1.0,1.0,11954523.0,1.0,2003.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,501.0,Sản xuất thực phẩm,4.0,6.0,644668.0,3.0,0.0,0.0,0.0,0.0,11454523.0,50.0,0.0,0.0,0.0
ADS_2019_BCTN.txt,ADS,2019.0,13025,453,5264,290,5127,863,3093,5121,2318,4011,1613,2411,7960,8916,38288,138707.9568,41612.37173,143789.5378,48155.15665,42269189,16121668,49932377.04,19152965.16,720,101,4669,1751,2833,85,2918,810,3701,3019,3070,682,631,29713,6208,105012,24087,18989,4679,333,5098,6865,ADS,2019.0,13025,453,5264,290,5127,863,3093,5121,2318,4011,1613,2411,7960,8916,38288,138707.9568,41612.37173,143789.5378,48155.15665,42269189,16121668,49932377.04,19152965.16,720,101,4669,1751,2833,85,2918,810,3701,3019,3070,682,631,29713,6208,105012,24087,18989,4679,333,5098,6865,ADS2019,0,CTCP Damsan,HoSE,"Sản xuất sợi, vải",1733480000000.0,1330380000000.0,403108000000.0,9637465825.0,8282329120.0,2618742709.0,1705140000000.0,1705140000000.0,HOSE,503.0,"Sản xuất sợi, vải",Vũ Huy Đông,1.0,CTHĐQT/TGĐ,1955.0,1.0,1.0,4308730.0,1.0,2005.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,503.0,"Sản xuất sợi, vải",5.0,6.0,22631.0,0.0,0.0,0.0,0.0,0.0,7226730.0,28.0,2099923.0,8.0,0.0
AGM_2018_BCTN.txt,AGM,2018.0,13708,418,5144,228,5476,652,3101,4941,2070,3246,1188,1852,6359,7748,25627,72347.14277,10201.50897,78079.07811,14590.95108,13995484,3386720,26643881.58,5753815.951,185,33,5124,1462,3570,92,3662,635,2859,2484,2444,375,415,20206,1841,75442,14334,8859,5170,227,5475,2162,AGM,2018.0,13708,418,5144,228,5476,652,3101,4941,2070,3246,1188,1852,6359,7748,25627,72347.14277,10201.50897,78079.07811,14590.95108,13995484,3386720,26643881.58,5753815.951,185,33,5124,1462,3570,92,3662,635,2859,2484,2444,375,415,20206,1841,75442,14334,8859,5170,227,5475,2162,AGM2018,0,CTCP Xuất nhập khẩu An Giang,HoSE,Sản xuất thực phẩm,551853000000.0,174599000000.0,377255000000.0,33168780527.0,27396300076.0,3325211596.0,2075180000000.0,2073310000000.0,HOSE,501.0,Sản xuất thực phẩm,Nguyễn Văn Tiến,1.0,CTHĐQT,1961.0,1.0,1.0,102200.0,0.0,1982.0,1.0,0.0,0.0,0.0,,0.0,0.0,501.0,Sản xuất thực phẩm,4.0,5.0,1489870.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14563700.0,80.0,28.0
