,Filename,Code,Year,so_chu_de,so_chu_de_phan_biet,so_tu_de,so_tu_de_phan_biet,so_tu_muon,so_tu_muon_phan_biet,so_tu_co_1_nghia,so_tu_co_1_pos,so_tu_co_2_nghia,so_tu_co_2_pos,so_tu_co_3_nghia,so_tu_co_3_pos,so_tu_co_nhieu_pos,so_tu_da_nghia,tong_so_tu_loai_cua_tat_ca_cac_t,tong_tan_suat_chu,tong_tan_suat_chu_phan_biet,tong_tan_suat_tu,tong_tan_suat_tu_phan_biet,tong_thu_hang_chu,tong_thu_hang_chu_phan_biet,tong_thu_hang_tu,tong_thu_hang_tu_phan_biet,so_tu_dia_phuong,so_tu_dia_phuong_phan_biet,so_tu_han_viet,so_tu_han_viet_1_chu,so_tu_han_viet_2_chu,so_tu_han_viet_3_chu,so_tu_han_viet_nhieu_chu,so_tu_han_viet_phan_biet,so_cau,so_cau_duoi_10_tu,so_cau_duoi_13_chu,so_cau_tu_10_tu,so_cau_tu_13_chu,so_chu,so_chu_phan_biet,so_ky_tu,so_tu,so_tu_1_chu,so_tu_2_chu,so_tu_3_chu,so_tu_nhieu_chu,so_tu_phan_biet,CodeYear,dup,FirmName,StockExchange,GroupInd,TotalAssets,Debt,Equity,ProfitBeforeTax,ProfitAfterTax,Profit_Others,Revenue_Gross,Revenue_Net,D,Ind,Ind_Name,Name_Person,Gender,Position,YearBirth,Edu,Nationality,Stock_Num,Manager,Year_StartWork,BoardMember,R,Control,CHAIR,CEO,Duality,CEO1,IndCode,IndName,INDB,BSIZE,FOR_No,FOR,FOR_Ind_No,FOR_Ind,FOR_Org_No,FOR_Org,DOM_Ind_No,DOM_Ind,DOM_Org_No,DOM_Org,GOV
0,AAA_Baocaothuongnien_2018.txt,AAA,2018,43754.0,474.0,15572.0,314.0,16817.0,1198.0,9327.0,15391.0,6835.0,10181.0,3793.0,6187.0,20348.0,24858.0,82591.0,236160.175815868,23375.0525126743,254652.688191282,33212.2158277569,46405380.0,8388422.0,88285285.1881942,13288552.2158277,548.0,54.0,15762.0,3606.0,11936.0,214.0,12156.0,1170.0,7530.0,6081.0,5934.0,1449.0,1596.0,65491.0,3784.0,238023.0,45987.0,27737.0,17311.0,710.0,18250.0,4803.0,AAA2018,0.0,CTCP Nhựa An Phát Xanh,HoSE,Sản xuất các sản phẩm nhựa và cao su,7529166722403,4548916573712,2980250148691,253984323184,212148913561,8299007917,8018827145835,8011572613389,HOSE,512,Sản xuất các sản phẩm nhựa và cao su,Phạm Ánh Dương,1,CTHĐQT,1976,2,1,0,0,2007,1,0,0,0,,0,0,512,Sản xuất các sản phẩm nhựa và cao su,3,5,17047169,9.957459923942981,0,0,12798124,7.48,0,0,79817140,46.62,0
1,,AAA,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAA2019,0.0,CTCP Nhựa An Phát Xanh,HoSE,Sản xuất các sản phẩm nhựa và cao su,7987454158531,4732215965361,3255238193170,597393373124,491028872669,6991821545,9278251727409,9258073280674,HOSE,512,Sản xuất các sản phẩm nhựa và cao su,Phạm Ánh Dương,1,CTHĐQT,1976,2,1,0,0,2007,1,0,0,0,,0,0,512,Sản xuất các sản phẩm nhựa và cao su,3,5,4289600,2.505607827888948,0,0,0,0,0,0,82305630,48.08,0
2,AAM_Baocaothuongnien_2018.txt,AAM,2018,18356.0,434.0,6911.0,248.0,7196.0,689.0,4019.0,6630.0,3362.0,5422.0,1604.0,2343.0,9652.0,11271.0,40897.0,132688.787723092,20484.0294106968,137695.914629974,25617.2873452129,32244742.0,7318763.0,48431490.9146313,10421072.2873452,370.0,42.0,6627.0,2060.0,4490.0,77.0,4567.0,666.0,3732.0,2999.0,2943.0,733.0,789.0,32180.0,3227.0,127879.0,24099.0,16549.0,7145.0,303.0,7550.0,3665.0,AAM2018,0.0,CTCP Thủy sản MeKong,HoSE,Sản xuất thực phẩm,229959036787,18279981958,211679054829,11911379426,9591230681,1279259885,219916892024,218263890048,HOSE,501,Sản xuất thực phẩm,Lương Hoàng Mãnh,1,CTHĐQT/GĐ,1959,2,1,1879885,1,1997,1,1,0,0,0,1,0,501,Sản xuất thực phẩm,3,5,97631,.98262820107006,0,0,0,0,3518091,35.01000000000001,0,0,0
3,AAM_Baocaothuongnien_2019.txt,AAM,2019,10505.0,205.0,5599.0,148.0,5040.0,265.0,2384.0,5266.0,2114.0,3890.0,2492.0,2994.0,8952.0,9540.0,42637.0,138911.985795555,12992.8512427783,146665.608132104,15298.7121536239,46208527.0,4940750.0,45330903.1081323,5845313.71215362,1001.0,49.0,4020.0,2636.0,1379.0,5.0,1384.0,235.0,3386.0,2670.0,2697.0,716.0,689.0,28795.0,2010.0,99454.0,25682.0,22801.0,2681.0,172.0,2881.0,2256.0,AAM2019,0.0,CTCP Thủy sản MeKong,HoSE,Sản xuất thực phẩm,227507959520,16092542851,211415416669,10265178848,8308840156,3164962244,225542898242,216121936349,HOSE,501,Sản xuất thực phẩm,Lương Hoàng Mãnh,1,CTHĐQT/GĐ,1959,2,1,4879732,1,1997,1,1,0,0,0,1,0,501,Sản xuất thực phẩm,3,5,125254,1.014497249443583,0,0,0,0,4879732,46.69,0,0,0
4,,AAT,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAT2018,0.0,CTCP Tiên Sơn Thanh Hóa ,HoSE,Bán buôn hàng tiêu dùng,593245038424,203497051793,389747986631,29506221751,23989962076,376198717,295584707203,295584707203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,AAT,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAT2019,0.0,CTCP Tiên Sơn Thanh Hóa ,HoSE,Bán buôn hàng tiêu dùng,600879702212,189984624788,410895077424,25932376637,21147090793,2498712563,296395817053,296395817053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AAV_Baocaothuongnien_2018.txt,AAV,2018,9781.0,434.0,3082.0,225.0,3474.0,649.0,2190.0,3117.0,1427.0,2324.0,705.0,1259.0,4303.0,4891.0,16868.0,50125.0450401541,7072.91180441105,54664.101619794,11752.084485685,9283773.0,2183508.0,19493451.6016199,4528554.58448568,83.0,29.0,3321.0,791.0,2446.0,84.0,2530.0,636.0,1630.0,1389.0,1352.0,241.0,278.0,14205.0,1440.0,49571.0,9591.0,5390.0,3878.0,240.0,4201.0,1784.0,AAV2018,0.0,CTCP Việt Tiên Sơn Địa ốc,HNX,Bán buôn hàng tiêu dùng,390152649178,191441882378,198710766800,47400463674,36765880123,-371175818,469405732945,469405732945,HNX,602,Bán buôn hàng tiêu dùng,Nguyễn Thanh Hải,1,CTHĐQT,1960,1,1,3625000,0,2010,1,0,0,0,,0,0,602,Bán buôn hàng tiêu dùng,3,6,0,0,0,0,0,0,4875000,39,0,0,0
7,AAV_Baocaothuongnien_2019.txt,AAV,2019,18117.0,467.0,6568.0,301.0,7371.0,1004.0,4135.0,6529.0,3136.0,5269.0,1959.0,3180.0,10266.0,11266.0,47474.0,169771.012815305,42580.6261692492,177402.025965943,51239.4446775439,49555986.0,16448909.0,62407462.0259651,20517899.4446775,700.0,101.0,6730.0,2552.0,4072.0,106.0,4178.0,934.0,4275.0,3452.0,3473.0,823.0,802.0,37943.0,6373.0,130966.0,29597.0,22116.0,6827.0,492.0,7481.0,7278.0,AAV2019,0.0,CTCP Việt Tiên Sơn Địa ốc,HNX,Bán buôn hàng tiêu dùng,588735324160,215641052169,373094271991,39633079955,30804265918,-668913246,548359366987,547472229156,HNX,602,Bán buôn hàng tiêu dùng,Nguyễn Thanh Hải,1,CTHĐQT,1960,1,1,9243750,0,2010,1,0,0,0,,0,0,602,Bán buôn hàng tiêu dùng,3,6,8583936,26.93,0,0,0,0,12431250,39,0,0,0
8,,ABS,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABS2018,0.0,CTCP Dịch vụ Nông nghiệp Bình Thuận,HoSE,Bán buôn hàng tiêu dùng,580656601836,210288451846,370368149990,37391553520,29574467704,-23790955,472413878399,472413878399,,,,,,,,,,,,,,,,,,,,602,Bán buôn hàng tiêu dùng,,,,,0,0,0,0,5760000,20,6800000,23.61,0
9,,ABS,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABS2019,0.0,CTCP Dịch vụ Nông nghiệp Bình Thuận,HoSE,Bán buôn hàng tiêu dùng,663350291172,259922636372,403427654800,42328556226,33021177534,-825197558,790964126368,790568426368,HOSE,602,Bán buôn hàng tiêu dùng,Trần Văn Mười,1,CTHĐQT,1973,0,1,5760000,0,2006,1,0,0,0,,0,1,602,Bán buôn hàng tiêu dùng,3,5,,,0,0,0,0,5760000,20,6800000,23.61,0
