Filename,FirmCode,Year_x,so_chu_de_x,so_chu_de_phan_biet_x,so_tu_de_x,so_tu_de_phan_biet_x,so_tu_muon_x,so_tu_muon_phan_biet_x,so_tu_co_1_nghia_x,so_tu_co_1_pos_x,so_tu_co_2_nghia_x,so_tu_co_2_pos_x,so_tu_co_3_nghia_x,so_tu_co_3_pos_x,so_tu_co_nhieu_pos_x,so_tu_da_nghia_x,tong_so_tu_loai_cua_tat_ca_cac_tu_x,tong_tan_suat_chu_x,tong_tan_suat_chu_phan_biet_x,tong_tan_suat_tu_x,tong_tan_suat_tu_phan_biet_x,tong_thu_hang_chu_x,tong_thu_hang_chu_phan_biet_x,tong_thu_hang_tu_x,tong_thu_hang_tu_phan_biet_x,so_tu_dia_phuong_x,so_tu_dia_phuong_phan_biet_x,so_tu_han_viet_x,so_tu_han_viet_1_chu_x,so_tu_han_viet_2_chu_x,so_tu_han_viet_3_chu_x,so_tu_han_viet_nhieu_chu_x,so_tu_han_viet_phan_biet_x,so_cau_x,so_cau_duoi_10_tu_x,so_cau_duoi_13_chu_x,so_cau_tu_10_tu_x,so_cau_tu_13_chu_x,so_chu_x,so_chu_phan_biet_x,so_ky_tu_x,so_tu_x,so_tu_1_chu_x,so_tu_2_chu_x,so_tu_3_chu_x,so_tu_nhieu_chu_x,so_tu_phan_biet_x,Code,Year_y,so_chu_de_y,so_chu_de_phan_biet_y,so_tu_de_y,so_tu_de_phan_biet_y,so_tu_muon_y,so_tu_muon_phan_biet_y,so_tu_co_1_nghia_y,so_tu_co_1_pos_y,so_tu_co_2_nghia_y,so_tu_co_2_pos_y,so_tu_co_3_nghia_y,so_tu_co_3_pos_y,so_tu_co_nhieu_pos_y,so_tu_da_nghia_y,tong_so_tu_loai_cua_tat_ca_cac_tu_y,tong_tan_suat_chu_y,tong_tan_suat_chu_phan_biet_y,tong_tan_suat_tu_y,tong_tan_suat_tu_phan_biet_y,tong_thu_hang_chu_y,tong_thu_hang_chu_phan_biet_y,tong_thu_hang_tu_y,tong_thu_hang_tu_phan_biet_y,so_tu_dia_phuong_y,so_tu_dia_phuong_phan_biet_y,so_tu_han_viet_y,so_tu_han_viet_1_chu_y,so_tu_han_viet_2_chu_y,so_tu_han_viet_3_chu_y,so_tu_han_viet_nhieu_chu_y,so_tu_han_viet_phan_biet_y,so_cau_y,so_cau_duoi_10_tu_y,so_cau_duoi_13_chu_y,so_cau_tu_10_tu_y,so_cau_tu_13_chu_y,so_chu_y,so_chu_phan_biet_y,so_ky_tu_y,so_tu_y,so_tu_1_chu_y,so_tu_2_chu_y,so_tu_3_chu_y,so_tu_nhieu_chu_y,so_tu_phan_biet_y,CodeYear,dup,FirmName,StockExchange,GroupInd,TotalAssets,Debt,Equity,ProfitBeforeTax,ProfitAfterTax,Profit_Others,Revenue_Gross,Revenue_Net,D,Ind,Ind_Name,Name_Person,Gender,Position,YearBirth,Edu,Nationality,Stock_Num,Manager,Year_StartWork,BoardMember,R,Control,CHAIR,CEO,Duality,CEO1,IndCode,IndName,INDB,BSIZE,FOR_No,FOR,FOR_Ind_No,FOR_Ind,FOR_Org_No,FOR_Org,DOM_Ind_No,DOM_Ind,DOM_Org_No,DOM_Org,GOV
AAA_Baocaothuongnien_2018.txt,AAA,2018,43754,474,15572,314,16817,1198,9327,15391,6835,10181,3793,6187,20348,24858,82591,236160.1758,23375.05251,254652.6882,33212.21583,46405380,8388422,88285285.19,13288552.22,548,54,15762,3606,11936,214,12156,1170,7530,6081,5934,1449,1596,65491,3784,238023,45987,27737,17311,710,18250,4803,AAA,2018,43754,474,15572,314,16817,1198,9327,15391,6835,10181,3793,6187,20348,24858,82591,236160.1758,23375.05251,254652.6882,33212.21583,46405380,8388422,88285285.19,13288552.22,548,54,15762,3606,11936,214,12156,1170,7530,6081,5934,1449,1596,65491,3784,238023,45987,27737,17311,710,18250,4803,AAA2018,0,CTCP Nhựa An Phát Xanh,HoSE,Sản xuất các sản phẩm nhựa và cao su,7.52917E+12,4.54892E+12,2.98025E+12,2.53984E+11,2.12149E+11,8299007917,8.01883E+12,8.01157E+12,HOSE,512,Sản xuất các sản phẩm nhựa và cao su,Phạm Ánh Dương,1,CTHĐQT,1976,2,1,0,0,2007,1,0,0,0,,0,0,512,Sản xuất các sản phẩm nhựa và cao su,3,5,17047169,10,0,0,12798124,7,0,0,79817140,47,0
AAM_Baocaothuongnien_2018.txt,AAM,2018,18356,434,6911,248,7196,689,4019,6630,3362,5422,1604,2343,9652,11271,40897,132688.7877,20484.02941,137695.9146,25617.28735,32244742,7318763,48431490.91,10421072.29,370,42,6627,2060,4490,77,4567,666,3732,2999,2943,733,789,32180,3227,127879,24099,16549,7145,303,7550,3665,AAM,2018,18356,434,6911,248,7196,689,4019,6630,3362,5422,1604,2343,9652,11271,40897,132688.7877,20484.02941,137695.9146,25617.28735,32244742,7318763,48431490.91,10421072.29,370,42,6627,2060,4490,77,4567,666,3732,2999,2943,733,789,32180,3227,127879,24099,16549,7145,303,7550,3665,AAM2018,0,CTCP Thủy sản MeKong,HoSE,Sản xuất thực phẩm,2.29959E+11,18279981958,2.11679E+11,11911379426,9591230681,1279259885,2.19917E+11,2.18264E+11,HOSE,501,Sản xuất thực phẩm,Lương Hoàng Mãnh,1,CTHĐQT/GĐ,1959,2,1,1879885,1,1997,1,1,0,0,0,1,0,501,Sản xuất thực phẩm,3,5,97631,1,0,0,0,0,3518091,35,0,0,0
AAM_Baocaothuongnien_2019.txt,AAM,2019,10505,205,5599,148,5040,265,2384,5266,2114,3890,2492,2994,8952,9540,42637,138911.9858,12992.85124,146665.6081,15298.71215,46208527,4940750,45330903.11,5845313.712,1001,49,4020,2636,1379,5,1384,235,3386,2670,2697,716,689,28795,2010,99454,25682,22801,2681,172,2881,2256,AAM,2019,10505,205,5599,148,5040,265,2384,5266,2114,3890,2492,2994,8952,9540,42637,138911.9858,12992.85124,146665.6081,15298.71215,46208527,4940750,45330903.11,5845313.712,1001,49,4020,2636,1379,5,1384,235,3386,2670,2697,716,689,28795,2010,99454,25682,22801,2681,172,2881,2256,AAM2019,0,CTCP Thủy sản MeKong,HoSE,Sản xuất thực phẩm,2.27508E+11,16092542851,2.11415E+11,10265178848,8308840156,3164962244,2.25543E+11,2.16122E+11,HOSE,501,Sản xuất thực phẩm,Lương Hoàng Mãnh,1,CTHĐQT/GĐ,1959,2,1,4879732,1,1997,1,1,0,0,0,1,0,501,Sản xuất thực phẩm,3,5,125254,1,0,0,0,0,4879732,47,0,0,0
AAV_Baocaothuongnien_2018.txt,AAV,2018,9781,434,3082,225,3474,649,2190,3117,1427,2324,705,1259,4303,4891,16868,50125.04504,7072.911804,54664.10162,11752.08449,9283773,2183508,19493451.6,4528554.584,83,29,3321,791,2446,84,2530,636,1630,1389,1352,241,278,14205,1440,49571,9591,5390,3878,240,4201,1784,AAV,2018,9781,434,3082,225,3474,649,2190,3117,1427,2324,705,1259,4303,4891,16868,50125.04504,7072.911804,54664.10162,11752.08449,9283773,2183508,19493451.6,4528554.584,83,29,3321,791,2446,84,2530,636,1630,1389,1352,241,278,14205,1440,49571,9591,5390,3878,240,4201,1784,AAV2018,0,CTCP Việt Tiên Sơn Địa ốc,HNX,Bán buôn hàng tiêu dùng,3.90153E+11,1.91442E+11,1.98711E+11,47400463674,36765880123,-371175818,4.69406E+11,4.69406E+11,HNX,602,Bán buôn hàng tiêu dùng,Nguyễn Thanh Hải,1,CTHĐQT,1960,1,1,3625000,0,2010,1,0,0,0,,0,0,602,Bán buôn hàng tiêu dùng,3,6,0,0,0,0,0,0,4875000,39,0,0,0
AAV_Baocaothuongnien_2019.txt,AAV,2019,18117,467,6568,301,7371,1004,4135,6529,3136,5269,1959,3180,10266,11266,47474,169771.0128,42580.62617,177402.026,51239.44468,49555986,16448909,62407462.03,20517899.44,700,101,6730,2552,4072,106,4178,934,4275,3452,3473,823,802,37943,6373,130966,29597,22116,6827,492,7481,7278,AAV,2019,18117,467,6568,301,7371,1004,4135,6529,3136,5269,1959,3180,10266,11266,47474,169771.0128,42580.62617,177402.026,51239.44468,49555986,16448909,62407462.03,20517899.44,700,101,6730,2552,4072,106,4178,934,4275,3452,3473,823,802,37943,6373,130966,29597,22116,6827,492,7481,7278,AAV2019,0,CTCP Việt Tiên Sơn Địa ốc,HNX,Bán buôn hàng tiêu dùng,5.88735E+11,2.15641E+11,3.73094E+11,39633079955,30804265918,-668913246,5.48359E+11,5.47472E+11,HNX,602,Bán buôn hàng tiêu dùng,Nguyễn Thanh Hải,1,CTHĐQT,1960,1,1,9243750,0,2010,1,0,0,0,,0,0,602,Bán buôn hàng tiêu dùng,3,6,8583936,27,0,0,0,0,12431250,39,0,0,0
ACB_Baocaothuongnien_2018.txt,ACB,2018,15823,444,5363,254,6054,792,3494,5235,2150,3634,1241,2206,7351,8623,29182,83538.32811,10721.79286,88710.09732,16674.84184,15935689,3578349,30963795.1,6485462.342,175,36,5767,1196,4521,50,4571,773,1971,1501,1413,470,558,23531,2016,81915,15929,9005,6470,247,6924,2489,ACB,2018,15823,444,5363,254,6054,792,3494,5235,2150,3634,1241,2206,7351,8623,29182,83538.32811,10721.79286,88710.09732,16674.84184,15935689,3578349,30963795.1,6485462.342,175,36,5767,1196,4521,50,4571,773,1971,1501,1413,470,558,23531,2016,81915,15929,9005,6470,247,6924,2489,ACB2018,0,,,,,,,,,,,,HOSE,1001,Trung gian tín dụng và các hoạt động liên quan,Trần Hùng Huy,1,CTHĐQT,1978,2,1,40036334,0,2002,1,0,0,0,,0,0,1001,Trung gian tín dụng và các hoạt động liên quan,7,8,386576321,30,0,0,217194808,17,0,0,0,0,0
ACB_Baocaothuongnien_2019.txt,ACB,2019,36291,402,19319,253,17859,631,7162,18322,5762,10385,7595,10103,26415,31019,132285,456154.7059,33908.79716,468339.3882,40723.14989,148576393,12705842,151510474.4,16535320.65,2123,56,14889,8379,6495,15,6510,591,13872,11792,12048,2080,1824,93162,4992,329891,81747,71235,9845,486,10512,5763,ACB,2019,36291,402,19319,253,17859,631,7162,18322,5762,10385,7595,10103,26415,31019,132285,456154.7059,33908.79716,468339.3882,40723.14989,148576393,12705842,151510474.4,16535320.65,2123,56,14889,8379,6495,15,6510,591,13872,11792,12048,2080,1824,93162,4992,329891,81747,71235,9845,486,10512,5763,ACB2019,0,,,,,,,,,,,,HOSE,1001,Trung gian tín dụng và các hoạt động liên quan,Trần Hùng Huy,1,CTHĐQT,1978,2,1,56978208,0,2002,1,0,0,0,,0,0,1001,Trung gian tín dụng và các hoạt động liên quan,7,8,498821183,30,0,0,115050462,7,0,0,0,0,0
ACC_Baocaothuongnien_2019.txt,ACC,2019,12732,431,4667,266,5310,806,3014,4972,2341,3792,1600,2258,7458,8348,37251,143908.9512,38209.78852,147427.2203,44205.08535,45188089,14749045,51952849.72,17569917.59,807,113,4852,2009,2785,56,2843,745,4379,3708,3733,671,646,30018,5712,107555,24164,19069,4539,389,5095,6306,ACC,2019,12732,431,4667,266,5310,806,3014,4972,2341,3792,1600,2258,7458,8348,37251,143908.9512,38209.78852,147427.2203,44205.08535,45188089,14749045,51952849.72,17569917.59,807,113,4852,2009,2785,56,2843,745,4379,3708,3733,671,646,30018,5712,107555,24164,19069,4539,389,5095,6306,ACC2019,0,CTCP Đầu tư và Xây dựng Bình Dương ACC,HoSE,Sản xuất sản phẩm khoáng chất phi kim,4.9702E+11,2.48437E+11,2.48583E+11,57274742812,45862526564,4902156598,4.73661E+11,4.73638E+11,HOSE,513,Sản xuất sản phẩm khoáng chất phi kim,Phạm Xuân Phương,1,CTHĐQT,0,0,1,0,0,,1,0,0,0,,0,0,513,Sản xuất sản phẩm khoáng chất phi kim,5,5,2035700,20,0,0,0,0,4846704,48,2490000,25,0
ACL_2018_BCTN.txt,ACL,2018,6428,398,2071,193,2379,455,1468,2058,903,1570,492,860,2981,3351,11260,30916.38088,4784.351711,33465.70302,7615.211858,5399662,1374471,11667555.7,2828590.212,83,23,2275,455,1769,49,1820,443,801,588,551,213,250,9085,1065,32168,6042,3221,2663,94,2821,1198,ACL,2018,6428,398,2071,193,2379,455,1468,2058,903,1570,492,860,2981,3351,11260,30916.38088,4784.351711,33465.70302,7615.211858,5399662,1374471,11667555.7,2828590.212,83,23,2275,455,1769,49,1820,443,801,588,551,213,250,9085,1065,32168,6042,3221,2663,94,2821,1198,ACL2018,0,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,HoSE,Sản xuất thực phẩm,1.34338E+12,7.84615E+11,5.58763E+11,2.5903E+11,2.304E+11,-981554805,1.69352E+12,1.68885E+12,HOSE,501,Sản xuất thực phẩm,Trần Thị Vân Loan,0,CTHĐQT/TGĐ,1971,1,1,11454523,1,2003,1,1,0,1,1,1,1,501,Sản xuất thực phẩm,2,5,573089,3,0,0,0,0,11454523,50,0,0,0
ACL_2019_BCTN.txt,ACL,2019,7356,409,2373,217,2650,502,1673,2327,1028,1807,558,965,3389,3800,12753,35173.98159,5413.982429,38008.54493,8571.157603,6116080,1598680,13316046.04,3192706.158,96,26,2537,498,1978,59,2039,486,831,609,570,222,261,10349,1175,36747,6850,3609,3055,116,3241,1344,ACL,2019,7356,409,2373,217,2650,502,1673,2327,1028,1807,558,965,3389,3800,12753,35173.98159,5413.982429,38008.54493,8571.157603,6116080,1598680,13316046.04,3192706.158,96,26,2537,498,1978,59,2039,486,831,609,570,222,261,10349,1175,36747,6850,3609,3055,116,3241,1344,ACL2019,0,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,HoSE,Sản xuất thực phẩm,1.46119E+12,7.94912E+11,6.66276E+11,1.57896E+11,1.41713E+11,-1923137812,1.42367E+12,1.41753E+12,HOSE,501,Sản xuất thực phẩm,Trần Thị Vân Loan,0,CTHĐQT/TGĐ,1971,1,1,11954523,1,2003,1,1,0,1,1,1,1,501,Sản xuất thực phẩm,4,6,644668,3,0,0,0,0,11454523,50,0,0,0
